"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Anantapur","2022-10-16","2022","10","3.6998987178","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-17","2022","10","15.9260301638","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-18","2022","10","1.5893136307","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-19","2022","10","4.2667374526","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-20","2022","10","1.4300509194","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-21","2022","10","0.1019465217","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-22","2022","10","0.9515993429","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-23","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-24","2022","10","0.0004491169","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-25","2022","10","0.0136871565","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-01","2022","10","0.7364459791","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-02","2022","10","0.9211383727","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-03","2022","10","0.0002313166","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-04","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-05","2022","10","0.342315136","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-06","2022","10","21.0741714917","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-07","2022","10","9.8981619872","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-08","2022","10","2.5719424077","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-09","2022","10","4.1282155941","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-10","2022","10","19.0038589089","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-11","2022","10","4.8286454296","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-12","2022","10","1.9474287872","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-13","2022","10","10.2121631743","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-14","2022","10","3.8305950518","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-15","2022","10","2.0756610631","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-16","2022","10","2.7237294309","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-17","2022","10","7.1239890808","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-18","2022","10","3.5697446547","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-19","2022","10","11.4008137076","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-20","2022","10","2.1876241372","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-21","2022","10","1.6198172111","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-22","2022","10","5.6427275459","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-23","2022","10","0.0008384252","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-24","2022","10","0.0063076766","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-25","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-01","2022","10","19.6014789493","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-02","2022","10","21.0202147017","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-03","2022","10","5.9853866305","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-04","2022","10","5.9300304686","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-05","2022","10","4.0144804245","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-06","2022","10","24.059705777","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-07","2022","10","14.8488497543","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-08","2022","10","11.8007432758","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-09","2022","10","6.5743073634","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-10","2022","10","15.9355984463","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-11","2022","10","14.6018657615","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-12","2022","10","2.5123485596","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-13","2022","10","4.808624529","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-14","2022","10","8.6429840858","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-15","2022","10","31.3839680593","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-16","2022","10","8.0440032619","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-17","2022","10","1.9323412779","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-18","2022","10","4.5023597128","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-19","2022","10","3.6032650936","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-20","2022","10","5.2337247822","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-21","2022","10","0.2175138389","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-22","2022","10","0.0003056048","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-23","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-24","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-25","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-01","2022","10","29.1835731356","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-02","2022","10","16.0575393868","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-03","2022","10","0.0058739164","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-04","2022","10","1.1327095975","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-05","2022","10","0.1339514036","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-06","2022","10","51.594831126","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-07","2022","10","14.0314729848","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-08","2022","10","0.9038123792","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-09","2022","10","8.9102151165","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-10","2022","10","10.7029351735","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-11","2022","10","9.0354817472","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-12","2022","10","3.1314269174","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-13","2022","10","1.625745248","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-14","2022","10","18.8837059939","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-15","2022","10","14.8035973014","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-16","2022","10","13.535030101","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-17","2022","10","8.6128907547","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-18","2022","10","0.4874838802","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-19","2022","10","1.6735847878","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-20","2022","10","0.2136022249","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-21","2022","10","0.6916889782","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-22","2022","10","0.140589541","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-23","2022","10","1.905E-7","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-24","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-25","2022","10","0.0031998044","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-01","2022","10","6.3606716412","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-02","2022","10","9.2890729695","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-03","2022","10","0.0044661525","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-04","2022","10","1.2887283034","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-05","2022","10","0.5306304436","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-06","2022","10","51.8985744126","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-07","2022","10","24.2389818421","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-08","2022","10","6.0303430172","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-09","2022","10","2.6190186869","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-10","2022","10","16.1518431606","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-11","2022","10","3.6696412518","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-12","2022","10","6.0431393942","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-13","2022","10","1.7401462619","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-14","2022","10","9.9098143993","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-15","2022","10","18.0128914249","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-16","2022","10","10.6567932973","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-17","2022","10","0.6427349902","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-18","2022","10","2.7923773112","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-19","2022","10","12.1502626428","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-20","2022","10","2.289395082","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-21","2022","10","0.6841680126","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-22","2022","10","0.2649316066","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-23","2022","10","0.0005137513","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-24","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-25","2022","10","0.0016133113","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-01","2022","10","15.41880686","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-02","2022","10","8.6182996586","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-03","2022","10","1.0329266486","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-04","2022","10","0.5011374225","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-05","2022","10","0.5734748523","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-06","2022","10","21.126698994","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-07","2022","10","17.3171356617","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-08","2022","10","2.247558997","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-09","2022","10","1.0900033719","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-10","2022","10","9.6929522681","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-11","2022","10","1.5260511613","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-12","2022","10","8.4558078114","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-13","2022","10","55.9410696893","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-14","2022","10","8.5031433853","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-15","2022","10","1.7092258532","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-16","2022","10","2.2407239623","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-17","2022","10","1.4593980952","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-18","2022","10","1.0929308637","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-19","2022","10","3.8924522135","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-20","2022","10","2.8284612377","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-21","2022","10","0.4765685746","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-22","2022","10","1.1079266189","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-23","2022","10","0.0008396","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-24","2022","10","0.0479440346","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-25","2022","10","0.0248633265","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-01","2022","10","28.7796891638","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-02","2022","10","26.643523137","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-03","2022","10","0.0674844957","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-04","2022","10","0.1025109765","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-05","2022","10","0.2833795078","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-06","2022","10","41.2618379566","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-07","2022","10","14.7180052041","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-08","2022","10","2.0879215182","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-09","2022","10","8.7984378639","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-10","2022","10","9.5317760351","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-11","2022","10","6.3226836764","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-12","2022","10","2.1098963011","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-13","2022","10","0.7264289956","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-14","2022","10","7.0678281513","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-15","2022","10","3.050363638","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-16","2022","10","4.350986539","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-17","2022","10","4.4347698663","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-18","2022","10","0.3345095137","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-19","2022","10","1.6536353496","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-20","2022","10","1.9625702696","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-21","2022","10","2.4058393519","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-22","2022","10","0.5542672809","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-23","2022","10","0.0002599412","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-24","2022","10","0.0279695534","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-25","2022","10","6.1212E-5","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-01","2022","10","12.1011807787","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-02","2022","10","10.5382633295","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-03","2022","10","6.23099E-5","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-04","2022","10","8.224E-7","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-05","2022","10","2.4217354056","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-06","2022","10","22.2563997314","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-07","2022","10","8.2250413995","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-08","2022","10","0.1241567863","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-09","2022","10","4.6824323833","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-10","2022","10","10.0828746691","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-11","2022","10","3.7588289054","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-12","2022","10","0.0723492178","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-13","2022","10","0.1574048836","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-14","2022","10","0.1446939328","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-15","2022","10","2.1563402754","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-16","2022","10","2.3571947176","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-17","2022","10","1.0704485437","NRSC VIC MODEL"
